TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,POSTSEASON_WINS
Colorado,P12,33,21,104.9,90.2,0.8513,48.3,45.9,20.0,19.4,33.6,30.4,40.9,25.3,47.0,44.7,34.4,32.0,65.5,1.4,R64,10,2013,0
Cincinnati,BE,34,22,104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,R64,10,2013,0
Belmont,OVC,31,24,108.9,96.2,0.8064,56.5,48.0,19.6,25.0,29.7,34.2,32.8,37.0,56.9,46.7,37.2,33.5,67.4,0.1,R64,11,2013,0
Bucknell,Pat,33,27,104.7,93.1,0.7936,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1.0,R64,11,2013,0
Saint Mary's,WCC,34,27,113.9,94.9,0.891,53.7,47.1,18.3,17.9,36.9,25.0,37.0,36.9,52.3,44.0,37.3,36.7,64.8,2.5,R64,11,2013,0
Akron,MAC,32,25,103.4,94.4,0.7402,51.0,44.6,20.8,20.2,37.6,30.5,36.9,35.0,52.1,42.7,32.7,32.8,66.5,0.3,R64,12,2013,0
South Dakota St.,Sum,32,22,109.7,103.7,0.6573,53.3,51.2,16.4,17.1,28.9,26.1,33.0,24.4,50.4,49.8,38.9,35.8,64.0,-3.2,R64,13,2013,0
Montana,BSky,30,23,101.6,101.8,0.4929,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52.0,48.0,36.4,33.3,63.9,-1.4,R64,13,2013,0
New Mexico St.,WAC,34,23,102.5,95.3,0.6992,49.3,45.4,21.9,18.6,36.9,29.8,47.0,30.7,49.8,43.2,31.8,33.9,65.1,-3.1,R64,13,2013,0
Northwestern St.,Slnd,28,19,104.8,102.1,0.573,49.0,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50.0,46.8,31.0,33.9,73.0,-3.2,R64,14,2013,0
Davidson,SC,33,25,110.6,98.3,0.7959,53.1,45.3,17.0,18.8,29.0,28.5,38.9,36.4,52.0,44.3,36.6,32.1,65.2,-1.4,R64,14,2013,0
Valparaiso,Horz,33,25,107.8,97.9,0.7514,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,65.6,-0.8,R64,14,2013,0
Pacific,BW,33,20,104.7,101.1,0.5991,50.5,50.0,17.8,20.0,29.2,30.8,37.7,39.3,46.8,48.0,38.9,35.4,63.4,-5.1,R64,15,2013,0
Iona,MAAC,34,20,112.8,105.0,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,71.3,-5.9,R64,15,2013,0
Albany,AE,35,24,101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40.0,27.8,46.7,47.6,37.0,33.1,63.2,-4.5,R64,15,2013,0
Western Kentucky,SB,35,19,100.1,100.4,0.4895,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,66.0,-8.4,R64,16,2013,0
North Carolina A&T,MEAC,36,19,90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32.0,66.9,-11.5,R64,16,2013,0
Southern,SWAC,30,20,95.9,96.7,0.475,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46.0,40.5,36.7,30.0,65.0,-5.7,R64,16,2013,0
James Madison,CAA,36,21,98.5,99.4,0.4736,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,64.2,-8.9,R64,16,2013,0
Wake Forest,ACC,33,19,122.4,102.6,0.8831,54.1,52.7,16.4,16.2,30.7,27.7,40.7,38.0,52.1,52.1,38.5,35.8,72.0,1.3,R68,11,2017,0
Tulsa,Amer,32,20,109.5,99.6,0.7486,50.3,48.2,15.6,20.4,28.0,30.5,39.6,34.6,51.1,45.0,32.6,35.9,69.4,-1.2,R68,11,2016,0
Temple,Amer,33,23,109.4,97.6,0.7866,49.9,50.6,15.7,20.6,26.9,29.2,32.5,33.9,50.1,51.5,33.0,32.9,70.2,1.8,R68,11,2019,0
North Florida,ASun,32,20,105.2,105.0,0.5063,53.6,47.9,18.3,17.9,29.2,31.8,39.7,34.1,51.1,48.3,38.1,31.3,67.5,-5.1,R68,16,2015,0
Providence,BE,33,20,108.3,94.5,0.8278,51.4,49.6,18.4,20.3,26.4,28.6,38.1,30.5,49.1,49.9,37.1,32.8,67.6,0.6,R68,11,2017,0
St. John's,BE,34,21,107.4,99.5,0.7067,51.9,50.7,14.3,21.2,21.8,29.4,29.5,39.7,50.7,50.3,35.8,34.2,72.3,-1.2,R68,11,2019,0
Manhattan,MAAC,33,19,100.2,99.4,0.5238,49.4,48.1,21.1,23.9,30.9,33.1,47.4,52.3,48.8,48.0,33.6,32.4,68.0,-7.6,R68,16,2015,0
North Carolina Central,MEAC,31,25,101.4,101.3,0.5043,51.3,45.3,17.8,19.8,31.6,31.2,34.2,28.0,52.7,46.1,32.7,29.2,68.0,-5.1,R68,16,2017,0
North Carolina Central,MEAC,32,19,95.0,110.3,0.1522,50.4,48.5,20.8,16.8,32.9,29.7,30.3,34.3,51.3,48.1,32.3,32.8,66.4,-12.0,R68,16,2018,0
North Carolina Central,MEAC,31,18,98.0,108.3,0.2414,49.9,49.9,22.7,17.5,34.8,26.9,33.5,31.4,51.3,50.9,31.5,32.0,66.4,-10.9,R68,16,2019,0
Boise St.,MWC,32,23,109.5,96.0,0.821,53.2,47.6,16.1,19.4,27.8,25.6,32.4,31.6,49.6,48.1,38.9,31.3,63.4,0.2,R68,11,2015,0
Fairleigh Dickinson,NEC,32,17,103.0,115.6,0.209,51.2,52.4,17.7,21.0,28.4,35.8,33.3,46.9,49.5,52.1,36.4,35.4,72.5,-9.9,R68,16,2016,0
LIU Brooklyn,NEC,34,18,101.9,109.9,0.2937,52.1,50.0,19.5,16.5,29.4,29.8,38.7,31.8,52.3,50.5,34.6,32.8,72.8,-13.2,R68,16,2018,0
Arizona St.,P12,32,20,115.7,102.1,0.8089,53.8,50.6,14.7,20.4,28.0,30.6,41.3,32.7,53.2,50.2,36.4,34.2,72.7,-1.2,R68,11,2018,0
UCLA,P12,33,21,113.7,100.6,0.8029,53.7,49.1,16.6,14.5,28.5,26.9,35.5,29.7,51.4,47.3,38.1,34.6,71.5,0.0,R68,11,2018,0
Vanderbilt,SEC,33,19,114.5,93.2,0.9148,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,68.7,-0.3,R68,11,2016,0
New Orleans,Slnd,29,20,99.6,101.2,0.4538,50.2,50.3,23.7,22.4,36.1,32.6,42.8,34.7,51.6,51.8,30.7,31.9,67.7,-6.3,R68,16,2017,0
Southern,SWAC,32,19,98.9,106.2,0.3065,48.5,47.9,16.3,19.6,28.1,31.2,38.1,39.9,47.6,47.7,33.8,32.2,69.5,-8.1,R68,16,2016,0
Prairie View A&M,SWAC,34,22,101.7,105.7,0.3911,49.0,51.2,17.4,24.7,29.7,34.3,43.1,46.2,49.2,53.7,32.4,31.2,72.2,-7.1,R68,16,2019,0
BYU,WCC,33,23,118.3,100.3,0.8699,53.2,49.6,16.4,17.7,33.4,28.4,42.5,39.2,50.2,49.6,39.0,33.1,70.8,0.8,R68,11,2015,0
Iowa,B10,33,20,121.2,99.2,0.9089,51.1,47.4,15.9,18.8,37.6,29.0,45.3,35.4,50.6,47.3,35.0,31.7,70.9,1.2,R68,11,2014,0
Xavier,BE,34,21,112.0,99.5,0.7965,51.7,49.4,18.7,16.9,34.1,28.7,41.6,39.5,51.5,47.4,34.8,35.2,66.0,1.4,R68,12,2014,0
Mount St. Mary's,NEC,33,16,107.1,111.0,0.3986,51.5,53.5,16.7,18.8,27.8,33.0,36.7,34.5,50.2,54.6,35.5,33.4,69.9,-9.4,R68,16,2014,0
Texas Southern,SWAC,33,18,106.1,112.9,0.3293,51.7,50.2,19.3,15.8,33.6,31.2,49.3,29.8,50.7,48.9,35.8,35.6,67.6,-9.7,R68,16,2014,0
Middle Tennessee,SB,34,28,105.1,91.0,0.8396,51.1,44.4,20.7,23.6,36.5,29.0,41.4,42.8,49.2,43.9,37.7,30.3,64.9,0.7,R68,11,2013,0
Boise St.,MWC,30,19,112.0,97.4,0.8332,51.8,51.4,18.4,20.0,30.3,24.4,33.7,42.2,48.4,51.0,38.7,34.8,66.2,-0.2,R68,13,2013,0
LIU Brooklyn,NEC,34,20,108.1,111.2,0.4195,54.4,52.6,20.3,18.4,35.2,33.5,45.6,31.6,53.1,51.1,38.0,37.2,69.3,-8.6,R68,16,2013,0
Liberty,BSth,33,12,100.1,109.7,0.2591,48.5,47.8,19.8,15.1,29.0,32.6,38.4,38.5,44.9,48.6,37.0,30.9,65.7,-15.6,R68,16,2013,0
North Carolina,ACC,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40.0,31.2,35.2,37.8,50.9,45.6,35.8,30.0,69.9,6.5,S16,4,2015,2
North Carolina St.,ACC,36,22,114.1,96.8,0.8684,49.3,45.5,16.0,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33.0,64.7,1.1,S16,8,2015,2
Duke,ACC,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51.0,48.9,38.5,34.0,68.7,4.2,S16,4,2016,2
Miami FL,ACC,35,27,119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67.0,6.9,S16,3,2016,2
Clemson,ACC,35,25,112.5,93.1,0.8984,52.9,47.2,17.4,17.4,27.2,26.3,33.5,27.2,51.6,43.9,36.6,35.2,67.2,3.9,S16,5,2018,2
Syracuse,ACC,37,23,106.0,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64.0,-0.4,S16,11,2018,2
Florida St.,ACC,37,29,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27.0,35.8,35.7,50.9,45.3,33.2,33.5,70.0,7.6,S16,4,2019,2
North Carolina,ACC,36,29,120.1,91.4,0.9582,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76.0,10.0,S16,1,2019,2
Virginia Tech,ACC,35,26,117.8,93.4,0.9357,55.6,49.0,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49.0,39.4,32.7,65.1,5.0,S16,4,2019,2
Houston,Amer,37,33,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26.0,31.6,37.3,51.3,43.0,35.5,27.9,67.3,7.8,S16,3,2019,2
Indiana,B10,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49.0,41.6,34.3,69.5,3.2,S16,5,2016,2
Maryland,B10,35,26,114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37.0,27.0,55.8,45.5,36.2,32.1,67.9,4.0,S16,5,2016,2
Wisconsin,B10,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38.0,33.6,46.6,44.8,34.9,37.4,64.1,0.4,S16,7,2016,2
Michigan,B10,38,26,123.3,97.6,0.9366,57.0,51.9,14.2,19.5,24.7,30.0,30.1,27.2,56.3,50.0,38.5,37.8,64.0,3.8,S16,7,2017,2
Purdue,B10,35,27,116.6,93.1,0.9297,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,70.4,5.6,S16,4,2017,2
Wisconsin,B10,37,27,114.5,92.0,0.9255,52.1,47.5,17.0,19.5,35.9,25.9,32.9,28.0,51.1,43.1,35.9,37.6,64.4,5.1,S16,8,2017,2
Purdue,B10,37,30,123.2,95.7,0.9484,57.7,47.0,15.8,17.7,28.0,28.0,35.6,24.2,54.1,45.5,42.0,33.2,68.7,7.6,S16,2,2018,2
Michigan,B10,37,30,114.6,85.6,0.9665,51.6,44.1,13.9,18.0,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,S16,2,2019,2
Oklahoma,B12,35,24,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,S16,3,2015,2
West Virginia,B12,35,25,110.3,93.3,0.8733,46.1,52.7,18.7,28.0,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,S16,5,2015,2
Iowa St.,B12,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,S16,3,2016,2
Baylor,B12,34,27,116.4,93.9,0.9226,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45.0,35.3,32.2,65.1,7.9,S16,3,2017,2
West Virginia,B12,37,28,115.4,89.3,0.9498,51.3,48.8,17.0,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,S16,4,2017,2
West Virginia,B12,37,26,120.9,95.8,0.9353,50.4,49.9,16.5,23.3,37.0,30.1,31.3,44.1,48.8,45.4,35.3,38.0,71.2,4.6,S16,5,2018,2
Xavier,BE,37,23,115.7,95.1,0.9049,53.3,50.0,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,S16,6,2015,2
Butler,BE,34,25,117.7,96.9,0.9038,54.6,50.8,15.0,19.6,27.2,27.0,37.1,37.0,54.5,51.3,36.6,33.3,67.2,5.5,S16,4,2017,2
Wichita St.,MVC,34,29,114.3,91.5,0.9277,50.3,45.8,15.0,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,S16,7,2015,2
Nevada,MWC,37,29,118.9,102.5,0.8462,54.8,49.4,13.5,18.0,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,S16,7,2018,2
UCLA,P12,36,22,111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0.0,S16,11,2015,2
Utah,P12,34,25,114.9,88.7,0.9513,55.2,43.0,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,S16,5,2015,2
Arizona,P12,37,32,117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26.0,40.5,28.6,51.5,48.4,39.0,31.0,67.1,7.9,S16,2,2017,2
UCLA,P12,36,31,122.8,99.6,0.9175,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,6.6,S16,3,2017,2
Oregon,P12,38,25,108.1,91.7,0.8687,52.0,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29.0,65.4,-1.1,S16,12,2019,2
Texas A&M,SEC,37,28,113.0,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,S16,3,2016,2
Kentucky,SEC,37,26,115.8,95.6,0.9,51.8,46.8,18.6,16.8,35.7,31.0,44.0,32.3,51.2,48.0,35.7,30.1,70.0,4.3,S16,5,2018,2
Texas A&M,SEC,35,22,111.2,94.7,0.864,51.4,46.9,19.2,15.3,33.9,27.3,32.0,27.6,52.5,45.7,32.9,32.6,70.3,1.9,S16,7,2018,2
LSU,SEC,35,28,117.9,96.6,0.9081,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,7.3,S16,3,2019,2
Tennessee,SEC,36,31,122.8,95.2,0.9488,55.3,48.1,15.8,18.0,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,9.9,S16,2,2019,2
Gonzaga,WCC,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,S16,11,2016,2
Gonzaga,WCC,37,32,117.2,94.9,0.9192,57.0,47.1,16.1,17.4,33.0,23.1,32.1,29.1,58.2,44.1,36.8,35.0,70.5,4.9,S16,4,2018,2
Virginia,ACC,37,30,114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42.0,32.5,49.0,42.1,36.9,32.3,61.2,8.2,S16,1,2014,2
Iowa St.,B12,36,28,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46.0,35.8,34.1,71.6,7.5,S16,3,2014,2
Louisville,Amer,37,31,118.8,87.6,0.971,53.5,43.9,15.3,25.0,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,S16,4,2014,2
San Diego St.,MWC,34,29,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64.0,6.0,S16,4,2014,2
UCLA,P12,37,28,119.0,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53.0,48.6,38.0,34.4,70.2,4.5,S16,4,2014,2
Baylor,B12,36,24,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32.0,44.8,32.3,48.3,46.4,38.0,35.6,62.9,3.1,S16,6,2014,2
Stanford,P12,36,23,111.7,96.5,0.8436,51.3,48.0,17.0,17.0,29.3,28.1,45.0,37.0,49.9,45.8,36.4,34.9,67.2,1.1,S16,10,2014,2
Tennessee,SEC,36,23,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,S16,11,2014,2
Indiana,B10,36,29,121.0,89.7,0.9692,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,52.0,43.2,40.3,30.4,67.8,7.8,S16,1,2013,2
Kansas,B12,37,31,111.6,86.2,0.9514,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,67.7,7.5,S16,1,2013,2
Miami FL,ACC,36,29,112.4,90.8,0.9207,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44.0,36.2,32.6,63.0,6.3,S16,2,2013,2
Michigan St.,B10,35,26,111.4,87.8,0.9392,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,64.4,6.7,S16,3,2013,2
Arizona,P12,35,27,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,S16,6,2013,2
Oregon,P12,37,28,104.8,88.6,0.8728,49.3,46.4,21.4,22.0,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,S16,12,2013,2
La Salle,A10,34,24,112.0,96.2,0.8516,51.9,49.3,17.1,21.3,29.0,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66.0,0.3,S16,13,2013,2
Florida Gulf Coast,ASun,35,24,103.4,96.3,0.6952,51.6,46.9,21.0,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4.0,S16,15,2013,2
Michigan,B10,24,20,118.1,91.1,0.9521,54.9,44.9,16.3,15.1,29.4,24.8,28.9,24.5,53.3,42.3,38.7,33.5,66.9,7.2,E8,1,2021,3
Baylor,B12,24,22,123.2,94.5,0.9548,57.5,49.1,17.6,24.6,37.5,30.9,27.0,31.7,54.1,48.1,41.8,34.0,68.8,6.6,Champions,1,2021,6
Illinois,B10,29,23,117.7,90.4,0.9539,55.6,46.6,18.2,16.1,33.0,22.2,39.2,30.5,55.3,45.4,37.6,32.7,70.7,8.9,R32,1,2021,1
Gonzaga,WCC,26,26,125.4,89.8,0.9791,61.0,47.5,16.1,20.3,30.4,23.4,36.7,25.9,64.0,46.8,36.5,32.5,74.6,8.5,2ND,1,2021,5
Iowa,B10,29,21,123.5,95.7,0.9491,54.6,48.3,13.3,16.3,30.7,28.6,32.0,22.6,52.4,45.8,38.6,34.8,70.0,5.6,R32,2,2021,1
Ohio St.,B10,30,21,122.1,97.0,0.934,53.1,48.9,15.3,15.0,29.1,27.4,37.6,33.8,52.1,47.4,36.5,34.1,66.9,6.0,R64,2,2021,0
Houston,Amer,26,24,120.6,90.9,0.9626,51.3,42.9,16.3,21.6,39.4,28.0,30.7,42.4,49.9,43.0,35.5,28.5,65.0,4.0,F4,2,2021,4
Alabama,SEC,30,24,111.0,88.1,0.9343,51.3,45.3,18.6,21.1,31.5,29.8,28.6,31.9,50.1,46.4,35.1,28.8,73.9,6.8,S16,2,2021,2
West Virginia,B12,27,18,115.9,95.3,0.9046,48.7,50.2,17.0,20.7,35.6,31.3,39.4,28.5,46.4,51.3,35.7,32.3,69.6,3.0,R32,3,2021,1
Texas,B12,26,19,113.8,93.5,0.9058,52.9,46.7,20.2,17.8,31.3,26.9,34.0,36.7,52.4,45.8,35.7,32.3,69.1,4.2,R64,3,2021,0
Kansas,B12,27,20,108.5,90.0,0.8964,49.8,47.0,17.7,20.0,30.9,26.9,30.5,26.5,49.3,45.9,33.8,32.6,68.2,4.2,R32,3,2021,1
Arkansas,SEC,28,22,110.4,91.2,0.8997,51.5,47.6,17.4,20.3,31.7,26.2,32.7,29.3,51.9,46.9,33.9,32.6,73.1,4.6,E8,3,2021,3
Florida St.,ACC,22,16,117.8,94.0,0.9305,54.4,46.5,20.1,19.6,35.4,31.4,32.7,36.3,52.1,44.2,39.0,33.3,70.4,2.5,S16,4,2021,2
Virginia,ACC,24,18,114.6,93.9,0.9079,56.1,47.9,15.4,15.2,23.1,22.6,22.0,24.6,55.3,46.1,38.1,34.0,59.9,3.4,R64,4,2021,0
Purdue,B10,27,18,112.4,92.9,0.8994,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,66.6,3.8,R64,4,2021,0
Oklahoma St.,B12,28,20,109.3,92.3,0.875,52.1,47.2,21.4,19.3,31.9,30.2,36.4,30.5,52.8,46.9,33.8,31.7,71.6,4.6,R32,4,2021,1
Villanova,BE,22,16,117.9,96.7,0.9076,52.8,51.8,13.5,19.0,27.9,24.8,30.0,25.8,52.8,51.0,35.2,35.4,65.1,3.2,S16,5,2021,2
Tennessee,SEC,26,18,108.8,89.2,0.9072,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,66.9,2.4,R64,5,2021,0
Creighton,BE,28,20,114.4,94.3,0.9025,55.7,46.9,15.8,17.8,24.8,28.2,26.9,25.7,56.3,46.1,36.7,32.1,69.1,3.5,S16,5,2021,2
Colorado,P12,30,22,113.7,93.5,0.9045,52.0,47.7,16.8,19.8,30.9,25.6,29.9,28.0,50.3,46.5,36.7,33.3,66.3,2.6,R32,5,2021,1
Texas Tech,B12,27,17,112.3,92.2,0.9057,49.7,47.9,16.2,23.8,33.8,29.7,39.3,36.4,48.7,44.8,34.7,35.1,65.7,0.9,R32,6,2021,1
BYU,WCC,25,20,112.8,93.3,0.8991,55.0,46.6,19.0,16.0,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,68.2,3.3,R64,6,2021,0
